Batch,BAIT_SET,BAIT_TERRITORY,BAIT_DESIGN_EFFICIENCY,ON_BAIT_BASES,NEAR_BAIT_BASES,OFF_BAIT_BASES,PCT_SELECTED_BASES,PCT_OFF_BAIT,ON_BAIT_VS_SELECTED,MEAN_BAIT_COVERAGE,PCT_USABLE_BASES_ON_BAIT,PCT_USABLE_BASES_ON_TARGET,FOLD_ENRICHMENT,HS_LIBRARY_SIZE,HS_PENALTY_10X,HS_PENALTY_20X,HS_PENALTY_30X,HS_PENALTY_40X,HS_PENALTY_50X,HS_PENALTY_100X,TARGET_TERRITORY,GENOME_SIZE,TOTAL_READS,PF_READS,PF_BASES,PF_UNIQUE_READS,PF_UQ_READS_ALIGNED,PF_BASES_ALIGNED,PF_UQ_BASES_ALIGNED,ON_TARGET_BASES,PCT_PF_READS,PCT_PF_UQ_READS,PCT_PF_UQ_READS_ALIGNED,MEAN_TARGET_COVERAGE,MEDIAN_TARGET_COVERAGE,MAX_TARGET_COVERAGE,MIN_TARGET_COVERAGE,ZERO_CVG_TARGETS_PCT,PCT_EXC_DUPE,PCT_EXC_ADAPTER,PCT_EXC_MAPQ,PCT_EXC_BASEQ,PCT_EXC_OVERLAP,PCT_EXC_OFF_TARGET,FOLD_80_BASE_PENALTY,PCT_TARGET_BASES_1X,PCT_TARGET_BASES_2X,PCT_TARGET_BASES_10X,PCT_TARGET_BASES_20X,PCT_TARGET_BASES_30X,PCT_TARGET_BASES_40X,PCT_TARGET_BASES_50X,PCT_TARGET_BASES_100X,PCT_TARGET_BASES_250X,PCT_TARGET_BASES_500X,PCT_TARGET_BASES_1000X,PCT_TARGET_BASES_2500X,PCT_TARGET_BASES_5000X,PCT_TARGET_BASES_10000X,PCT_TARGET_BASES_25000X,PCT_TARGET_BASES_50000X,PCT_TARGET_BASES_100000X,AT_DROPOUT,GC_DROPOUT,HET_SNP_SENSITIVITY,HET_SNP_Q,SAMPLE,LIBRARY,READ_GROUP
2,deidentified,1005939,0.872637,2116015813,594846145,3282880710,0.452282,0.547718,0.780569,2103.52299,0.322607,0.089923,1100.996691,10642850,36.304285,37.100033,37.942589,38.878763,39.814937,45.881344,877820,3137161264,43437786,43437786,6559105686,32567749,32334137,5993742668,4461465549,589813552,1,0.749756,0.992827,671.90717,200,2224,0,0.031537,0.255646,0,0.025819,0.039558,0.249737,0.330881,4.698652,0.932624,0.919785,0.896056,0.883426,0.874313,0.866801,0.859787,0.826832,0.733562,0.586505,0.289526,0,0,0,0,0,0,1.489015,14.961999,0.917828,11,NA,NA,NA
2,deidentified,1005939,0.872637,1818308509,572660807,3496783560,0.406092,0.593908,0.76049,1807.573331,0.276755,0.101745,963.126197,14807963,27.523645,27.823794,28.138235,28.46697,28.835724,30.68807,877820,3137161264,43510652,43510652,6570108452,35396277,35100421,5887752876,4776526553,668473544,1,0.813508,0.991642,761.515509,200,4794,0,0.03088,0.188735,1.00E-06,0.028696,0.049978,0.22566,0.393428,3.807578,0.936334,0.924225,0.899604,0.889743,0.882755,0.877503,0.872698,0.849666,0.785975,0.65438,0.320486,0.003714,0,0,0,0,0,1.64918,8.332955,0.917862,11,NA,NA,NA
2,deidentified,1005939,0.872637,2290466653,654625752,3609922474,0.449288,0.550712,0.777723,2276.943883,0.318895,0.090816,1089.721424,11765899,34.971452,35.684847,36.36427,37.111636,37.886179,42.614968,877820,3137161264,47566270,47566270,7182506770,35714288,35466679,6555014879,4887908691,652284520,1,0.750832,0.993067,743.073204,200,2736,0,0.032194,0.254325,0,0.02428,0.039127,0.240205,0.342596,4.586872,0.932393,0.919585,0.895795,0.884299,0.876132,0.869653,0.863462,0.834816,0.750558,0.618555,0.342357,0.000374,0,0,0,0,0,1.453955,14.565524,0.915169,11,NA,NA,NA
3,deidentified,1005939,0.872637,1313598782,731989773,2837890310,0.418879,0.581121,0.642162,1305.843378,0.257874,0.132686,838.877648,12948967,26.320869,26.610057,26.971543,27.29688,27.636676,29.603156,877820,3137161264,33734868,33734868,5093965068,27956670,27802132,4883478865,4041230640,675895610,1,0.828717,0.994472,769.97062,200,3693,0,0.026938,0.172469,0,0.024405,0.04955,0.036966,0.578211,4.350116,0.942355,0.929074,0.908323,0.899576,0.893324,0.886824,0.880408,0.851556,0.75048,0.591143,0.318479,0.013185,0,0,0,0,0,2.100123,16.118652,0.925819,11,NA,NA,NA
3,deidentified,1005939,0.872637,1161881149,646033280,2381344719,0.431559,0.568441,0.642664,1155.021476,0.265134,0.13941,864.947359,11075927,23.124608,23.402588,23.721751,24.020322,24.372431,26.200923,877820,3137161264,29021514,29021514,4382248614,23773180,23623378,4189259148,3425582010,610930241,1,0.819157,0.993699,695.963,200,3414,0,0.031866,0.182294,0,0.023002,0.049729,0.040175,0.558972,4.069959,0.937223,0.92474,0.9061,0.895338,0.887565,0.880408,0.874442,0.844943,0.744756,0.571696,0.285552,0.003217,0,0,0,0,0,2.576081,16.396975,0.92223,11,NA,NA,NA
3,deidentified,1005939,0.872637,1104990062,604287266,2369850957,0.41903,0.58097,0.646466,1098.466271,0.259405,0.136305,844.804476,12043208,27.284121,27.642885,28.021582,28.420209,28.826809,31.17074,877820,3137161264,28210014,28210014,4259712114,23719890,23586671,4079128285,3425349835,580619493,1,0.840832,0.994384,661.433429,200,3641,0,0.029895,0.160274,0,0.024361,0.053545,0.042306,0.577181,4.56161,0.939555,0.926489,0.905749,0.896777,0.888626,0.881162,0.873737,0.837545,0.712811,0.53255,0.242355,0.006939,0,0,0,0,0,2.539421,16.741747,0.922832,11,NA,NA,NA
3,deidentified,1005939,0.872637,1212349221,672170425,2548841876,0.425077,0.574923,0.64332,1205.191588,0.26165,0.136291,852.824735,12823192,26.116676,26.44162,26.788228,27.156498,27.481442,29.509095,877820,3137161264,30685308,30685308,4633481508,25603017,25446762,4433361522,3694492156,631500077,1,0.834374,0.993897,719.395864,200,17117,0,0.029566,0.166661,0,0.023724,0.050575,0.040074,0.576529,4.413472,0.939054,0.926337,0.905649,0.895362,0.888101,0.881258,0.874524,0.840029,0.739211,0.551771,0.274554,0.012413,0.002178,0.00069,0,0,0,2.176126,15.471005,0.922718,11,NA,NA,NA
3,deidentified,1005939,0.872637,1452789425,807886541,2480461379,0.476821,0.523179,0.642635,1444.212248,0.294083,0.14189,955.620222,11754543,27.583668,28.009197,28.482007,28.931177,29.427628,32.264488,877820,3137161264,32715678,32715678,4940067378,26040342,25886829,4741137345,3765648003,700943713,1,0.795959,0.994105,798.505061,200,31418,0,0.043693,0.20575,0,0.022581,0.046538,0.038681,0.538614,5.05383,0.928865,0.918247,0.899609,0.889576,0.88223,0.875301,0.868946,0.838276,0.738606,0.565651,0.26286,0.011952,0.007923,0.005696,0.001288,0,0,3.237288,15.195351,0.915081,11,NA,NA,NA
3,deidentified,1005939,0.872637,1201052953,675363860,2346847966,0.444305,0.555695,0.640078,1193.962013,0.271902,0.144711,886.908961,12416927,26.139788,26.510328,26.860282,27.251408,27.634299,29.808132,877820,3137161264,29253198,29253198,4417232898,24201567,24058572,4223264779,3488411149,639222357,1,0.827314,0.994091,728.192975,200,5260,0,0.03318,0.174001,0,0.026173,0.051426,0.036664,0.560384,4.728526,0.9367,0.925273,0.906626,0.898476,0.891332,0.88364,0.876436,0.841853,0.73087,0.55135,0.285325,0.012825,8.70E-05,0,0,0,0,1.959908,16.920582,0.922853,11,NA,NA,NA
3,deidentified,1005939,0.872637,1225037448,679699075,2425822373,0.439836,0.560164,0.643153,1217.804905,0.271012,0.138975,882.207231,11298226,26.740627,27.12419,27.571679,27.955242,28.441088,30.998173,877820,3137161264,29935326,29935326,4520234226,24353183,24210537,4330558896,3516581366,628198446,1,0.813527,0.994143,715.634693,200,4940,0,0.033837,0.187961,0,0.02335,0.051674,0.039319,0.552639,4.708123,0.933924,0.92348,0.905024,0.895127,0.887147,0.880023,0.873375,0.839597,0.72954,0.559067,0.275891,0.016956,0,0,0,0,0,1.649387,17.290949,0.92105,11,NA,NA,NA
3,deidentified,1005939,0.872637,1269763753,698665076,2787687989,0.413873,0.586127,0.645065,1262.267148,0.255511,0.128898,832.598474,12287972,26.832228,27.185277,27.561863,27.891375,28.315034,30.405084,877820,3137161264,32910654,32910654,4969508754,27256821,27101421,4756116818,3933727334,640562048,1,0.828207,0.994299,729.719131,200,16109,0,0.029238,0.172912,0,0.024559,0.051223,0.037339,0.57929,4.317865,0.938912,0.926053,0.907762,0.897063,0.889043,0.881299,0.875577,0.843607,0.744595,0.555448,0.262449,0.013041,0.006123,0.000563,0,0,0,2.961949,15.993063,0.922938,11,NA,NA,NA
